"","X2017.12","X2018.12","X2019.12","X2020.12"
"매출액",9091,12646,14886,16752
"매출원가",NA,NA,NA,NA
"매출총이익",9091,12646,14886,16752
"판매비와관리비",8744,11959,14019,15730
"인건비",2775,3326,3546,3494
"유무형자산상각비",335,443,701,662
"연구개발비",NA,NA,NA,NA
"광고선전비",838,479,624,777
"판매비",7,32,27,37
"관리비",3967,6836,7693,9105
"기타원가성비용",NA,NA,NA,NA
"기타",823,843,1429,1655
"영업이익",347,686,867,1022
"영업이익(발표기준)",347,686,867,1022
"금융수익",968,1158,521,1016
"이자수익",96,106,66,42
"배당금수익",8,24,31,5
"외환이익",5,37,54,24
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",812,444,101,248
"금융자산평가이익",20,115,114,654
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",NA,NA,NA,NA
"기타금융수익",28,432,156,43
"금융원가",229,389,420,582
"이자비용",3,13,53,53
"외환손실",12,13,23,52
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",NA,NA,NA,NA
"금융자산처분손실",4,27,6,17
"금융자산평가손실",17,208,191,333
"금융자산손상차손",150,NA,NA,NA
"파생상품손실",NA,NA,6,68
"기타금융원가",43,129,140,58
"기타수익",87,421,143,259
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",7,322,30,3
"자산평가이익",NA,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA
"임대료수익",6,4,5,6
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",1,11,1,1
"충당부채환입액",NA,NA,NA,NA
"기타비용",533,419,455,1115
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",39,13,36,20
"자산평가손실",NA,NA,NA,NA
"자산손상차손",300,245,336,791
"기타대손상각비",2,59,14,69
"충당부채전입액",1,NA,NA,29
"종속기업,공동지배기업및관계기업관련손익",-96,81,-1,91
"지분법손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA
"세전계속사업이익",544,1538,655,691
"법인세비용",457,491,424,412
"계속영업이익",87,1047,232,280
"중단영업이익",NA,NA,NA,NA
"당기순이익",87,1047,232,280
"지배주주순이익",166,894,123,214
"비지배주주순이익",-79,154,108,65
"자산",21176,24947,25003,25509
"유동자산",9477,10063,10587,10869
"재고자산",166,376,382,483
"유동생물자산",NA,NA,NA,NA
"유동금융자산",2260,1767,2238,1710
"매출채권및기타유동채권",2415,2998,2723,2420
"당기법인세자산",NA,NA,NA,NA
"계약자산",NA,62,2,2
"반품(환불)자산",NA,NA,NA,NA
"배출권",NA,NA,NA,NA
"기타유동자산",413,1005,669,907
"현금및현금성자산",3681,3855,4574,5346
"매각예정비유동자산및처분자산집단",542,NA,NA,NA
"비유동자산",11699,14883,14416,14640
"유형자산",1180,3707,3645,3779
"무형자산",3518,5540,4686,4062
"비유동생물자산",NA,NA,NA,NA
"투자부동산",NA,72,113,111
"장기금융자산",3315,3490,3151,4236
"관계기업등지분관련투자자산",2121,1112,1142,1047
"장기매출채권및기타비유동채권",1085,293,346,271
"이연법인세자산",464,656,761,629
"장기당기법인세자산",NA,NA,NA,NA
"기타비유동자산",17,13,572,506
"기타금융업자산",NA,NA,NA,NA
"부채",4597,6746,6716,7068
"유동부채",3964,5625,5328,5588
"단기사채",NA,NA,NA,NA
"단기차입금",820,890,448,532
"유동성장기부채",85,114,241,87
"유동금융부채",0,0,359,390
"매입채무및기타유동채무",2211,3924,3599,3912
"유동종업원급여충당부채",NA,NA,NA,NA
"기타단기충당부채",17,20,32,59
"당기법인세부채",373,381,292,194
"계약부채",NA,3,19,21
"반품(환불)부채",NA,35,38,35
"배출부채",NA,NA,NA,NA
"기타유동부채",443,258,300,359
"매각예정으로분류된처분자산집단에포함된부채",13,NA,NA,NA
"비유동부채",633,1121,1388,1479
"사채",57,1,NA,NA
"장기차입금",16,404,210,153
"비유동금융부채",73,68,355,310
"장기매입채무및기타비유동채무",67,23,146,212
"비유동종업원급여충당부채",279,357,481,587
"기타장기충당부채",95,44,58,55
"이연법인세부채",41,220,131,147
"장기당기법인세부채",NA,NA,NA,NA
"기타비유동부채",5,3,8,17
"기타금융업부채",NA,NA,NA,NA
"자본",16579,18200,18287,18442
"지배기업주주지분",15066,15823,15788,15969
"자본금",98,98,98,98
"신종자본증권",NA,NA,NA,NA
"자본잉여금",12376,12376,12376,12376
"기타자본",-104,-269,-511,-775
"기타포괄손익누계액",-88,-244,-177,-71
"이익잉여금(결손금)",2784,3862,4002,4341
"비지배주주지분",1513,2378,2499,2473
"영업활동으로인한현금흐름",-435,381,1077,1413
"당기순손익",87,1047,232,280
"법인세비용차감전계속사업이익",NA,NA,NA,NA
"현금유출이없는비용등가산",1709,1845,2118,2791
"퇴직급여",89,116,116,142
"종업원급여",NA,NA,NA,NA
"주식보상비",NA,13,20,18
"감가상각비",228,310,572,498
"무형자산상각비",107,134,129,163
"계약부채전입액",NA,NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA,NA
"배출부채전입액",NA,NA,NA,NA
"기타의대손상각비",1,48,14,68
"배당금지급",NA,NA,NA,NA
"금융부채관련손실",NA,NA,NA,NA
"사채상환손실",NA,NA,NA,NA
"투자자산평가손실",85,NA,NA,NA
"자산재평가손실",NA,NA,NA,NA
"지분법관련손실",NA,NA,NA,NA
"종속기업관련손실",2,14,110,2
"관계기업관련손익",188,178,74,97
"(현금유입이없는수익등차감)",1028,1600,554,1158
"금융부채관련이익",26,4,0,2
"사채상환이익",NA,NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA,NA
"계약부채환입액",NA,NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA,NA
"배출부채환입액",NA,NA,NA,NA
"주식보상비환입",3,NA,NA,NA
"투자자산평가이익",NA,NA,NA,NA
"자산재평가이익",NA,NA,NA,NA
"지분법관련이익",NA,NA,NA,NA
"종속회사관련이익",NA,2,156,8
"법인세수익",NA,NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-495,29,32,-21
"자산의감소(증가)",-824,-232,335,-86
"부채의증가(감소)",329,260,-304,65
"정부보조금등의변동",NA,NA,NA,NA
"기타운전자본의변동",NA,NA,NA,NA
"*영업에서창출된현금흐름",274,1321,1827,1892
"기타영업활동으로인한현금흐름",-709,-940,-751,-479
"이자수입",75,84,57,39
"이자지급(-)",-2,-10,-61,-54
"배당금수입",8,24,31,5
"배당금지급(-)",NA,NA,NA,NA
"법인세환입",NA,NA,NA,NA
"법인세납부(-)",-790,-1039,-777,-470
"중단영업관련현금흐름",NA,NA,NA,NA
"투자활동으로인한현금흐름",-857,234,-187,32
"투자활동으로인한현금유입액",2746,3427,3702,5445
"유동금융자산의감소",2571,2239,2717,5001
"장기금융상품의감소",4,7,6,7
"매도가능금융자산의감소",NA,NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA,NA
"장기대여금의감소",1,37,13,18
"파생상품의변동",NA,NA,NA,NA
"기타비유동금융자산의감소",NA,NA,NA,NA
"관계기업등지분관련투자자산의감소",60,145,97,261
"유형자산의감소",25,39,124,9
"무형자산의감소",21,76,24,15
"생물자산의감소",NA,NA,NA,NA
"투자부동산의감소",NA,NA,NA,NA
"기타투자활동으로인한현금유입액",65,884,721,133
"(투자활동으로인한현금유출액)",3603,3192,3889,5413
"유동금융자산의증가",1853,1899,3095,4576
"장기금융상품의증가",8,2,9,3
"매도가능금융자산의증가",NA,NA,NA,NA
"만기보유금융자산의증가",NA,NA,NA,NA
"장기대여금의증가",69,32,28,4
"기타비유동금융자산의증가",NA,NA,NA,NA
"관계기업등지분관련투자자산의증가",714,259,69,175
