"","Price"
"2018-04-24",10600
"2018-04-25",10600
"2018-04-26",10750
"2018-04-27",10650
"2018-04-30",10750
"2018-05-02",10750
"2018-05-03",10750
"2018-05-04",10700
"2018-05-08",10600
"2018-05-09",10700
"2018-05-10",10800
"2018-05-11",10950
"2018-05-14",10900
"2018-05-15",10700
"2018-05-16",10750
"2018-05-17",10800
"2018-05-18",10800
"2018-05-21",11000
"2018-05-23",11000
"2018-05-24",10850
"2018-05-25",10850
"2018-05-28",10850
"2018-05-29",10850
"2018-05-30",10850
"2018-05-31",10800
"2018-06-01",10700
"2018-06-04",10700
"2018-06-05",10750
"2018-06-07",10650
"2018-06-08",10650
"2018-06-11",10550
"2018-06-12",10650
"2018-06-14",10600
"2018-06-15",10650
"2018-06-18",10500
"2018-06-19",10350
"2018-06-20",10050
"2018-06-21",10000
"2018-06-22",10000
"2018-06-25",10050
"2018-06-26",10050
"2018-06-27",10150
"2018-06-28",10000
"2018-06-29",10100
"2018-07-02",10050
"2018-07-03",10150
"2018-07-04",10100
"2018-07-05",10200
"2018-07-06",10150
"2018-07-09",10100
"2018-07-10",9700
"2018-07-11",9700
"2018-07-12",9760
"2018-07-13",9830
"2018-07-16",9960
"2018-07-17",9960
"2018-07-18",9950
"2018-07-19",9930
"2018-07-20",9920
"2018-07-23",9890
"2018-07-24",9890
"2018-07-25",9890
"2018-07-26",9820
"2018-07-27",9880
"2018-07-30",10000
"2018-07-31",9930
"2018-08-01",9950
"2018-08-02",9950
"2018-08-03",10100
"2018-08-06",9980
"2018-08-07",10000
"2018-08-08",10000
"2018-08-09",10200
"2018-08-10",10150
"2018-08-13",10150
"2018-08-14",10050
"2018-08-16",9950
"2018-08-17",9950
"2018-08-20",9930
"2018-08-21",9940
"2018-08-22",10050
"2018-08-23",10000
"2018-08-24",9990
"2018-08-27",10000
"2018-08-28",10150
"2018-08-29",10200
"2018-08-30",10200
"2018-08-31",10250
"2018-09-03",10250
"2018-09-04",10350
"2018-09-05",10200
"2018-09-06",10200
"2018-09-07",10350
"2018-09-10",10500
"2018-09-11",10450
"2018-09-12",10400
"2018-09-13",10400
"2018-09-14",10350
"2018-09-17",10300
"2018-09-18",10350
"2018-09-19",10250
"2018-09-20",10150
"2018-09-21",10150
"2018-09-27",10150
"2018-09-28",10150
"2018-10-01",10050
"2018-10-02",10050
"2018-10-04",10050
"2018-10-05",10050
"2018-10-08",10050
"2018-10-10",9980
"2018-10-11",9680
"2018-10-12",9840
"2018-10-15",9740
"2018-10-16",9860
"2018-10-17",9880
"2018-10-18",9820
"2018-10-19",9770
"2018-10-22",9730
"2018-10-23",9590
"2018-10-24",9570
"2018-10-25",9400
"2018-10-26",9390
"2018-10-29",9290
"2018-10-30",9140
"2018-10-31",9180
"2018-11-01",9280
"2018-11-02",9510
"2018-11-05",9420
"2018-11-06",9430
"2018-11-07",9390
"2018-11-08",9440
"2018-11-09",9460
"2018-11-12",9470
"2018-11-13",9430
"2018-11-14",10150
"2018-11-15",10300
"2018-11-16",10250
"2018-11-19",10300
"2018-11-20",10400
"2018-11-21",10450
"2018-11-22",10400
"2018-11-23",10550
"2018-11-26",10500
"2018-11-27",10450
"2018-11-28",10450
"2018-11-29",10500
"2018-11-30",10600
"2018-12-03",10600
"2018-12-04",10750
"2018-12-05",10650
"2018-12-06",10600
"2018-12-07",10550
"2018-12-10",10450
"2018-12-11",10450
"2018-12-12",10350
"2018-12-13",10450
"2018-12-14",10200
"2018-12-17",10300
"2018-12-18",10300
"2018-12-19",10350
"2018-12-20",10450
"2018-12-21",10400
"2018-12-24",10400
"2018-12-26",10400
"2018-12-27",9940
"2018-12-28",9840
"2019-01-02",9880
"2019-01-03",9930
"2019-01-04",9950
"2019-01-07",9990
"2019-01-08",10000
"2019-01-09",10100
"2019-01-10",10150
"2019-01-11",10050
"2019-01-14",10050
"2019-01-15",10100
"2019-01-16",10050
"2019-01-17",10050
"2019-01-18",10200
"2019-01-21",10250
"2019-01-22",10100
"2019-01-23",10500
"2019-01-24",10450
"2019-01-25",10500
"2019-01-28",10500
"2019-01-29",10550
"2019-01-30",10750
"2019-01-31",11500
