"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"1","005930","삼성전자",81000,-800,-0.98,"KOSPI","전기전자",483552386550000,3166,25.58,37528,2.16,1416,1.75
"2","000660","SK하이닉스",133500,-1500,-1.11,"KOSPI","전기전자",97188315727500,2943,45.36,65836,2.03,1000,0.75
"3","035420","NAVER",387000,1000,0.26,"KOSPI","서비스업",63569933865000,4006,96.61,35223,10.99,376,0.1
"4","051910","LG화학",784000,9000,1.16,"KOSPI","화학",55344396912000,4085,191.92,217230,3.61,2000,0.26
"5","207940","삼성바이오로직스",716000,3000,0.42,"KOSPI","의약품",4.737414e+13,3067,233.45,65812,10.88,0,0
"6","005380","현대차",221000,-5500,-2.43,"KOSPI","운수장비",47220669327000,11310,19.54,253001,0.87,4000,1.81
"7","006400","삼성SDI",635000,11000,1.76,"KOSPI","전기전자",43665476550000,5331,119.11,175114,3.63,1000,0.16
"8","035720","카카오",492000,1500,0.31,"KOSPI","서비스업",43642673040000,NA,NA,60603,8.12,127,0.03
"9","068270","셀트리온",3e+05,7500,2.56,"KOSPI","의약품",40508319300000,2196,136.61,20421,14.69,0,0
"10","000270","기아차",81800,-1700,-2.04,"KOSPI","운수장비",33158721784600,4556,17.95,71487,1.14,1150,1.41
"11","012330","현대모비스",283000,-3500,-1.22,"KOSPI","운수장비",26826445602000,24234,11.68,339207,0.83,4000,1.41
"12","005490","POSCO",306000,-7000,-2.24,"KOSPI","철강금속",26679171510000,22823,13.41,510076,0.6,10000,3.27
"13","051900","LG생활건강",1541000,36000,2.39,"KOSPI","화학",24067641577000,46431,33.19,234042,6.58,11000,0.71
"14","066570","LG전자",146500,1000,0.69,"KOSPI","전기전자",23974404751000,169,866.86,79245,1.85,750,0.51
"15","028260","삼성물산",118500,-1500,-1.25,"KOSPI","유통업",22146119098500,6366,18.61,125948,0.94,2000,1.69
"16","105560","KB금융",51000,-400,-0.78,"KOSPI","기타금융",21206203920000,8451,6.03,92672,0.55,2210,4.33
"17","036570","엔씨소프트",936000,5000,0.54,"KOSPI","서비스업",20548964592000,17387,53.83,113836,8.22,5220,0.56
"18","017670","SK텔레콤",249000,-1500,-0.6,"KOSPI","통신업",20105682039000,12144,20.5,284310,0.88,10000,4.02
"19","091990","셀트리온헬스케어",131500,2800,2.18,"KOSDAQ","유통",19984205173000,427,307.96,10816,12.16,0,0
"20","096770","SK이노베이션",204500,2500,1.24,"KOSPI","화학",18909207838000,NA,NA,186398,1.1,3000,1.47
"21","055550","신한지주",35100,-800,-2.23,"KOSPI","기타금융",18132644345400,7000,5.01,79682,0.44,1850,5.27
"22","034730","SK",244000,1500,0.62,"KOSPI","기타금융",17167912468000,12917,18.89,235255,1.04,5000,2.05
"23","032830","삼성생명",75200,-1000,-1.31,"KOSPI","보험",1.504e+13,5443,13.82,178335,0.42,2650,3.52
"24","090430","아모레퍼시픽",256000,4500,1.79,"KOSPI","화학",14965373440000,3477,73.63,65050,3.94,1000,0.39
"25","003550","LG",85900,-200,-0.23,"KOSPI","기타금융",14822657552900,6143,13.98,107050,0.8,2200,2.56
"26","015760","한국전력",22800,50,0.22,"KOSPI","전기가스업",14636780955600,NA,NA,105140,0.22,0,0
"27","018260","삼성에스디에스",184500,-1000,-0.54,"KOSPI","서비스업",14276204100000,9521,19.38,84595,2.18,2400,1.3
"28","009150","삼성전기",186500,1500,0.81,"KOSPI","전기전자",13930374304000,6806,27.4,68106,2.74,1100,0.59
"29","086790","하나금융지주",40950,-100,-0.24,"KOSPI","기타금융",12294912438900,7898,5.18,93673,0.44,2100,5.13
"30","003670","포스코케미칼",148000,5000,3.5,"KOSPI","비금속광물",11464556560000,1569,94.33,15352,9.64,400,0.27
"31","033780","KT&G",80300,0,0,"KOSPI","기타제조업",11024587509100,8208,9.78,63008,1.27,4400,5.48
"32","251270","넷마블",124000,-1500,-1.2,"KOSPI","서비스업",10656589016000,1883,65.85,51919,2.39,0,0
"33","302440","SK바이오사이언스",136500,-4000,-2.85,"KOSPI","의약품",1.044225e+13,240,568.75,3803,35.89,0,0
"34","011170","롯데케미칼",303500,-6500,-2.1,"KOSPI","화학",10402589666500,20860,14.55,385244,0.79,6700,2.21
"35","011200","HMM",29150,700,2.46,"KOSPI","운수창고업",9641730897700,NA,NA,3420,8.52,0,0
"36","018880","한온시스템",17950,-450,-2.45,"KOSPI","기계",9.58171e+12,597,30.07,4153,4.32,320,1.78
"37","003490","대한항공",26750,-550,-2.01,"KOSPI","운수창고업",9304207068750,NA,NA,17950,1.49,0,0
"38","010950","S-Oil",78700,-1500,-1.87,"KOSPI","화학",8860265730400,561,140.29,55715,1.41,200,0.25
"39","000810","삼성화재",184000,-1000,-0.54,"KOSPI","보험",8716970008000,15126,12.16,282791,0.65,8500,4.62
"40","009830","한화솔루션",45000,1350,3.09,"KOSPI","화학",8607532365000,NA,NA,34147,1.32,200,0.44
"41","326030","SK바이오팜",106500,1500,1.43,"KOSPI","서비스업",8340361125000,NA,NA,NA,NA,0,0
"42","009540","한국조선해양",117500,1500,1.29,"KOSPI","운수장비",8315841130000,2183,53.83,163436,0.72,0,0
"43","034220","LG디스플레이",22200,-150,-0.67,"KOSPI","전기전자",7943508540000,NA,NA,31694,0.7,0,0
"44","352820","빅히트",219000,-3000,-1.35,"KOSPI","서비스업",7801603440000,2951,74.21,6113,35.83,0,0
"45","010130","고려아연",402500,-3500,-0.86,"KOSPI","철강금속",7.595175e+12,35811,11.24,355878,1.13,14000,3.48
"46","030200","KT",27700,1000,3.75,"KOSPI","통신업",7232797081600,2526,10.97,52341,0.53,1100,3.97
"47","316140","우리금융지주",9940,-110,-1.09,"KOSPI","기타금융",7179340769020,2727,3.65,29782,0.33,700,7.04
"48","086280","현대글로비스",187500,-4500,-2.34,"KOSPI","운수창고업",7.03125e+12,13395,14,124541,1.51,3500,1.87
"49","011780","금호석유",230500,-2500,-1.07,"KOSPI","화학",7022802775500,10549,21.85,78488,2.94,1500,0.65
"50","024110","기업은행",8900,-110,-1.22,"KOSPI","은행",6574112804000,2242,3.97,33567,0.27,670,7.53
"51","097950","CJ제일제당",429000,2500,0.59,"KOSPI","음식료품",6458245794000,9516,45.08,297949,1.44,3500,0.82
"52","006800","미래에셋대우",9590,0,0,"KOSPI","증권",6092684352720,956,10.03,11236,0.85,260,2.71
"53","004020","현대제철",42450,-1050,-2.41,"KOSPI","철강금속",5664773573250,130,326.54,126631,0.34,750,1.77
"54","035250","강원랜드",26300,-550,-2.05,"KOSPI","서비스업",5626635150000,1651,15.93,17377,1.51,900,3.42
"55","161390","한국타이어앤테크놀로지",44950,700,1.58,"KOSPI","화학",5568184351550,3387,13.27,57774,0.78,550,1.22
