"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"1","060310","3S",2410,0,0,NA,NA,745,3.23,0,0
"2","095570","AJ네트웍스",4375,-15,-0.34,982,4.46,6802,0.64,300,6.86
"3","006840","AK홀딩스",29000,200,0.69,2168,13.38,62448,0.46,750,2.59
"4","054620","APS홀딩스",8530,240,2.9,NA,NA,10530,0.81,0,0
"5","265520","AP시스템",29450,300,1.03,671,43.89,7468,3.94,50,0.17
"6","211270","AP위성",16150,-500,-3,51,316.67,5479,2.95,70,0.43
"7","027410","BGF",6160,60,0.98,281,21.92,15699,0.39,110,1.79
"8","282330","BGF리테일",162500,1000,0.62,8763,18.54,36022,4.51,2700,1.66
"9","138930","BNK금융지주",6550,-120,-1.8,1647,3.98,25415,0.26,360,5.5
"10","001460","BYC",334000,-6000,-1.76,33265,10.04,517079,0.65,1100,0.33
"11","001465","BYC우",150000,-2000,-1.32,NA,NA,NA,NA,1150,0.77
"12","001040","CJ",91200,100,0.11,8240,11.07,126448,0.72,1850,2.03
"13","079160","CJ CGV",28300,-200,-0.7,NA,NA,11590,2.44,0,0
"14","035760","CJ ENM",141700,-1000,-0.7,5310,26.69,134364,1.05,1400,0.99
"15","00104K","CJ4우(전환)",72500,200,0.28,NA,NA,NA,NA,1900,2.62
"16","000120","CJ대한통운",180000,6500,3.75,1349,133.43,131146,1.37,0,0
"17","011150","CJ씨푸드",4825,30,0.63,51,94.61,1781,2.71,0,0
"18","011155","CJ씨푸드1우",37350,850,2.33,NA,NA,NA,NA,0,0
"19","001045","CJ우",53700,-300,-0.56,NA,NA,NA,NA,1900,3.54
"20","097950","CJ제일제당",429000,2500,0.59,9516,45.08,297949,1.44,3500,0.82
"21","097955","CJ제일제당 우",190500,500,0.26,NA,NA,NA,NA,3550,1.86
"22","051500","CJ프레시웨이",24450,-250,-1.01,434,56.34,16967,1.44,250,1.02
"23","058820","CMG제약",4460,-5,-0.11,25,178.4,1297,3.44,0,0
"24","023460","CNH",2800,335,13.59,424,6.6,2811,1,30,1.07
"25","056000","COWON",2860,0,0,NA,NA,1229,2.33,0,0
"26","065770","CS",2620,45,1.75,NA,NA,1155,2.27,0,0
"27","083660","CSA 코스믹",1840,-785,-29.9,NA,NA,836,2.2,0,0
"28","000590","CS홀딩스",58800,-100,-0.17,8435,6.97,195584,0.3,500,0.85
"29","012030","DB",871,-5,-0.57,23,37.87,1049,0.83,0,0
"30","367340","DB금융스팩8호",2085,0,0,NA,NA,NA,NA,0,0
"31","367360","DB금융스팩9호",2035,5,0.25,NA,NA,NA,NA,0,0
"32","016610","DB금융투자",5660,-20,-0.35,1172,4.83,16484,0.34,250,4.42
"33","005830","DB손해보험",44500,-650,-1.44,5966,7.46,84026,0.53,1500,3.37
"34","000990","DB하이텍",55200,400,0.73,2410,22.9,14483,3.81,350,0.63
"35","000995","DB하이텍1우",101000,1000,1,NA,NA,NA,NA,400,0.4
"36","139130","DGB금융지주",8200,-230,-2.73,1900,4.32,27296,0.3,410,5
"37","001530","DI동일",178500,9000,5.31,6765,26.39,195965,0.91,1500,0.84
"38","000210","DL",82300,-2100,-2.49,17223,4.78,153815,0.54,1300,1.58
"39","000215","DL우",41400,-450,-1.08,NA,NA,NA,NA,1350,3.26
"40","375500","DL이앤씨",122500,1500,1.24,NA,NA,NA,NA,0,0
"41","37550K","DL이앤씨우",73800,0,0,NA,NA,NA,NA,0,0
"42","068790","DMS",8220,80,0.98,768,10.7,7205,1.14,75,0.91
"43","004840","DRB동일",6720,-220,-3.17,461,14.58,17771,0.38,100,1.49
"44","241520","DSC인베스트먼트",5350,110,2.1,233,22.96,1343,3.98,0,0
"45","155660","DSR",5490,-20,-0.36,546,10.05,9613,0.57,50,0.91
"46","069730","DSR제강",5220,60,1.16,469,11.13,9851,0.53,40,0.77
"47","017940","E1",42500,-250,-0.58,NA,NA,166288,0.26,2200,5.18
"48","245620","EDGC",4975,-105,-2.07,NA,NA,560,8.88,0,0
"49","037370","EG",11750,200,1.73,NA,NA,4426,2.65,0,0
"50","079190","EMW",2780,0,0,120,23.17,971,2.86,0,0
"51","007700","F&F",140000,-5500,-3.78,7158,19.56,31366,4.46,1000,0.71
"52","130500","GH신소재",6400,-40,-0.62,204,31.37,3899,1.64,0,0
"53","114090","GKL",17000,-250,-1.45,1170,14.53,9460,1.8,659,3.88
"54","078930","GS",38650,-50,-0.13,5745,6.73,93746,0.41,1900,4.92
"55","083450","GST",23850,450,1.92,2010,11.87,10657,2.24,200,0.84
"56","006360","GS건설",42250,50,0.12,5590,7.56,49623,0.85,1000,2.37
"57","001250","GS글로벌",2380,20,0.85,NA,NA,4351,0.55,0,0
"58","007070","GS리테일",38750,550,1.44,1729,22.41,28232,1.37,750,1.94
"59","078935","GS우",31950,-50,-0.16,NA,NA,NA,NA,1950,6.1
"60","028150","GS홈쇼핑",150500,300,0.2,18339,8.21,174659,0.86,6500,4.32
"61","045890","GV",240,0,0,NA,NA,811,0.3,0,0
"62","078150","HB테크놀러지",3020,210,7.47,41,73.66,2025,1.49,20,0.66
"63","012630","HDC",11100,-150,-1.33,4460,2.49,36131,0.31,200,1.8
"64","039570","HDC아이콘트롤스",10100,0,0,NA,NA,10245,0.99,350,3.47
"65","089470","HDC현대EP",6120,-20,-0.33,445,13.75,8886,0.69,120,1.96
"66","294870","HDC현대산업개발",29200,200,0.69,8731,3.34,47095,0.62,500,1.71
"67","011200","HMM",29150,700,2.46,NA,NA,3420,8.52,0,0
"68","036640","HRS",5440,-80,-1.45,60,90.67,4475,1.22,0,0
"69","082740","HSD엔진",8240,330,4.17,NA,NA,5722,1.44,0,0
"70","335870","IBKS제12호스팩",2165,0,0,NA,NA,NA,NA,0,0
"71","351340","IBKS제13호스팩",2090,-10,-0.48,NA,NA,NA,NA,0,0
"72","351320","IBKS제14호스팩",2090,0,0,NA,NA,NA,NA,0,0
"73","373200","IBKS제15호스팩",2075,5,0.24,NA,NA,NA,NA,0,0
"74","003560","IHQ",2070,-15,-0.72,NA,NA,933,2.22,0,0
"75","095340","ISC",22000,1250,6.02,311,70.74,12011,1.83,50,0.23
"76","099520","ITX-AI",1405,65,4.85,NA,NA,598,2.35,0,0
"77","175330","JB금융지주",6300,0,0,1641,3.84,17615,0.36,300,4.76
"78","234080","JW생명과학",19800,-150,-0.75,1385,14.3,7744,2.56,500,2.53
"79","067290","JW신약",4905,45,0.93,33,148.64,1514,3.24,60,1.22
"80","001060","JW중외제약",29950,-250,-0.83,NA,NA,10059,2.98,325,1.09
"81","001067","JW중외제약2우B",61400,-900,-1.44,NA,NA,NA,NA,350,0.57
"82","001065","JW중외제약우",32200,-700,-2.13,NA,NA,NA,NA,350,1.09
"83","096760","JW홀딩스",5020,-70,-1.38,NA,NA,2191,2.29,90,1.79
"84","035900","JYP Ent.",36150,750,2.12,947,38.17,4477,8.07,155,0.43
"85","024840","KBI메탈",2185,-5,-0.23,196,11.15,2735,0.8,0,0
"86","105560","KB금융",51000,-400,-0.78,8451,6.03,92672,0.55,2210,4.33
"87","024120","KB오토시스",9850,-250,-2.48,930,10.59,8912,1.11,230,2.34
"88","002380","KCC",204500,-1500,-0.73,NA,NA,421723,0.48,5500,2.69
"89","021320","KCC건설",8480,-120,-1.4,1319,6.43,17642,0.48,150,1.77
"90","036670","KCI",9130,-60,-0.65,1061,8.61,5775,1.58,200,2.19
"91","009070","KCTC",6710,-500,-6.93,239,28.08,6409,1.05,45,0.67
"92","009440","KC그린홀딩스",4390,-55,-1.24,369,11.9,7996,0.55,60,1.37
"93","119650","KC코트렐",8690,180,2.12,149,58.32,5805,1.5,30,0.35
"94","044180","KD",1220,110,9.91,NA,NA,2170,0.56,0,0
"95","092220","KEC",2210,-65,-2.86,NA,NA,1782,1.24,0,0
"96","151860","KG ETS",5970,-40,-0.67,2789,2.14,6733,0.89,110,1.84
"97","016380","KG동부제철",12450,0,0,NA,NA,8886,1.4,0,0
"98","016385","KG동부제철우",113500,5500,5.09,NA,NA,NA,NA,0,0
"99","046440","KG모빌리언스",9750,-160,-1.61,619,15.75,7541,1.29,200,2.05
"100","035600","KG이니시스",18850,0,0,1847,10.21,8937,2.11,330,1.75
"101","001390","KG케미칼",25250,300,1.2,7691,3.28,26210,0.96,350,1.39
"102","060720","KH바텍",21800,-100,-0.46,NA,NA,7998,2.73,0,0
"103","001940","KISCO홀딩스",16200,200,1.25,2909,5.57,44246,0.37,280,1.73
"104","122450","KMH",11900,-50,-0.42,334,35.63,4835,2.46,70,0.59
"105","052900","KMH하이텍",2070,-60,-2.82,48,43.13,1358,1.52,0,0
"106","058400","KNN",1930,25,1.31,61,31.64,1479,1.3,20,1.04
"107","114450","KPX생명과학",9010,180,2.04,80,112.63,4024,2.24,0,0
"108","025000","KPX케미칼",61200,100,0.16,8571,7.14,96367,0.64,2500,4.08
"109","092230","KPX홀딩스",57800,-500,-0.86,8406,6.88,149477,0.39,2600,4.5
"110","000040","KR모터스",1445,85,6.25,NA,NA,318,4.54,0,0
"111","044450","KSS해운",11050,50,0.45,1034,10.69,12026,0.92,270,2.44
"112","030200","KT",27700,1000,3.75,2526,10.97,52341,0.53,1100,3.97
"113","033780","KT&G",80300,0,0,8208,9.78,63008,1.27,4400,5.48
"114","030210","KTB투자증권",4370,-80,-1.8,681,6.42,8098,0.54,150,3.43
"115","036030","KTH",10650,-600,-5.33,40,266.25,5741,1.86,0,0
"116","058850","KTcs",2940,35,1.2,178,16.52,3715,0.79,80,2.72
"117","058860","KTis",2965,60,2.07,272,10.9,4835,0.61,90,3.04
"118","060370","KT서브마린",5820,100,1.75,24,242.5,4680,1.24,30,0.52
"119","093050","LF",16200,0,0,2313,7,41768,0.39,500,3.09
"120","003550","LG",85900,-200,-0.23,6143,13.98,107050,0.8,2200,2.56
"121","034220","LG디스플레이",22200,-150,-0.67,NA,NA,31694,0.7,0,0
"122","001120","LG상사",28300,400,1.43,739,38.29,30224,0.94,300,1.06
"123","051900","LG생활건강",1541000,36000,2.39,46431,33.19,234042,6.58,11000,0.71
"124","051905","LG생활건강우",687000,-1000,-0.15,NA,NA,NA,NA,11050,1.61
"125","003555","LG우",66400,100,0.15,NA,NA,NA,NA,2250,3.39
"126","032640","LG유플러스",12050,0,0,1005,11.99,16218,0.74,400,3.32
"127","011070","LG이노텍",203500,-2000,-0.97,4323,47.07,93151,2.18,300,0.15
"128","066570","LG전자",146500,1000,0.69,169,866.86,79245,1.85,750,0.51
"129","066575","LG전자우",69500,-800,-1.14,NA,NA,NA,NA,800,1.15
"130","108670","LG하우시스",77900,1900,2.5,1154,67.5,91420,0.85,250,0.32
"131","108675","LG하우시스우",36550,150,0.41,NA,NA,NA,NA,300,0.82
"132","037560","LG헬로비전",4580,15,0.33,NA,NA,12283,0.37,75,1.64
"133","051910","LG화학",784000,9000,1.16,4085,191.92,217230,3.61,2000,0.26
"134","051915","LG화학우",359000,500,0.14,NA,NA,NA,NA,2050,0.57
"135","079550","LIG넥스원",37400,550,1.49,145,257.93,28817,1.3,600,1.6
"136","006260","LS",63400,100,0.16,912,69.52,98330,0.64,1450,2.29
"137","010120","LS ELECTRIC",57800,400,0.7,3542,16.32,45353,1.27,1200,2.08
"138","000680","LS네트웍스",2850,20,0.71,NA,NA,6590,0.43,0,0
"139","229640","LS전선아시아",7750,160,2.11,523,14.82,4591,1.69,180,2.32
"140","023150","MH에탄올",8480,-50,-0.59,NA,NA,7785,1.09,350,4.13
"141","065150","MP그룹",895,0,0,11,81.36,252,3.55,0,0
"142","219550","MP한강",1075,-10,-0.92,NA,NA,536,2.01,0,0
"143","035420","NAVER",387000,1000,0.26,4006,96.61,35223,10.99,376,0.1
"144","160550","NEW",13350,1550,13.14,NA,NA,3979,3.36,0,0
"145","053290","NE능률",10400,460,4.63,59,176.27,3886,2.68,0,0
"146","181710","NHN",71000,100,0.14,656,108.23,80696,0.88,0,0
"147","104200","NHN벅스",7150,100,1.42,341,20.97,4560,1.57,0,0
"148","060250","NHN한국사이버결제",52000,1100,2.16,1040,50,5192,10.02,230,0.44
"149","005940","NH투자증권",11250,-50,-0.44,1585,7.1,17934,0.63,500,4.44
"150","005945","NH투자증권우",9080,10,0.11,NA,NA,NA,NA,550,6.06
"151","034310","NICE",17250,150,0.88,771,22.37,18100,0.95,230,1.33
"152","030190","NICE평가정보",24700,500,2.07,682,36.22,3692,6.69,230,0.93
"153","008260","NI스틸",3430,-10,-0.29,224,15.31,3877,0.88,50,1.46
"154","004250","NPC",4290,-80,-1.83,343,12.51,6745,0.64,100,2.33
"155","004255","NPC우",2335,5,0.21,NA,NA,NA,NA,105,4.5
"156","010060","OCI",113000,-1500,-1.31,NA,NA,110515,1.02,0,0
"157","078590","OQP",3890,0,0,NA,NA,442,8.8,0,0
"158","178920","PI첨단소재",48500,-200,-0.41,603,80.43,8557,5.67,315,0.65
"159","024940","PN풍년",4660,-5,-0.11,577,8.08,3828,1.22,25,0.54
"160","005490","POSCO",306000,-7000,-2.24,22823,13.41,510076,0.6,10000,3.27
"161","218410","RFHIC",38300,900,2.41,857,44.69,8351,4.59,200,0.52
"162","091340","S&K폴리텍",5150,10,0.19,1368,3.76,7586,0.68,0,0
"163","010950","S-Oil",78700,-1500,-1.87,561,140.29,55715,1.41,200,0.25
"164","010955","S-Oil우",45200,-750,-1.63,NA,NA,NA,NA,225,0.5
"165","019550","SBI인베스트먼트",1710,-5,-0.29,71,24.08,583,2.93,0,0
"166","034120","SBS",21950,-1150,-4.98,1114,19.7,31799,0.69,150,0.68
"167","101060","SBS미디어홀딩스",1930,15,0.78,NA,NA,4162,0.46,0,0
"168","046140","SBS콘텐츠허브",7050,370,5.54,26,271.15,7234,0.97,0,0
