"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"1","095570","AJ네트웍스","KOSPI","서비스업",4375,-15,-0.34,204847540625
"2","006840","AK홀딩스","KOSPI","기타금융",29000,200,0.69,384179269000
"3","027410","BGF","KOSPI","기타금융",6160,60,0.98,589615432560
"4","282330","BGF리테일","KOSPI","유통업",162500,1000,0.62,2808634725000
"5","138930","BNK금융지주","KOSPI","기타금융",6550,-120,-1.8,2134875861300
"6","001460","BYC","KOSPI","섬유의복",334000,-6000,-1.76,208621410000
"7","001465","BYC우","KOSPI","섬유의복",150000,-2000,-1.32,32307750000
"8","001040","CJ","KOSPI","기타금융",91200,100,0.11,2660942217600
"9","079160","CJ CGV","KOSPI","서비스업",28300,-200,-0.7,9.9333e+11
"10","00104K","CJ4우(전환)","KOSPI","기타금융",72500,200,0.28,306422120000
"11","000120","CJ대한통운","KOSPI","운수창고업",180000,6500,3.75,4106221920000
"12","011150","CJ씨푸드","KOSPI","음식료품",4825,30,0.63,173365979725
"13","011155","CJ씨푸드1우","KOSPI","음식료품",37350,850,2.33,7.47e+09
"14","001045","CJ우","KOSPI","기타금융",53700,-300,-0.56,121373975100
"15","097950","CJ제일제당","KOSPI","음식료품",429000,2500,0.59,6458245794000
"16","097955","CJ제일제당 우","KOSPI","음식료품",190500,500,0.26,252875986500
"17","000590","CS홀딩스","KOSPI","기타금융",58800,-100,-0.17,67883541600
"18","012030","DB","KOSPI","서비스업",871,-5,-0.57,175222495643
"19","016610","DB금융투자","KOSPI","증권",5660,-20,-0.35,240246561740
"20","005830","DB손해보험","KOSPI","보험",44500,-650,-1.44,3.1506e+12
"21","000990","DB하이텍","KOSPI","전기전자",55200,400,0.73,2450802057600
"22","000995","DB하이텍1우","KOSPI","전기전자",101000,1000,1,11343916000
"23","139130","DGB금융지주","KOSPI","기타금융",8200,-230,-2.73,1386995830600
"24","001530","DI동일","KOSPI","유통업",178500,9000,5.31,440111206500
"25","000210","DL","KOSPI","기타금융",82300,-2100,-2.49,1270815862600
"26","000215","DL우","KOSPI","기타금융",41400,-450,-1.08,69805161000
"27","375500","DL이앤씨","KOSPI","건설업",122500,1500,1.24,2371445405000
"28","37550K","DL이앤씨우","KOSPI","건설업",73800,0,0,156004713000
"29","004840","DRB동일","KOSPI","기타금융",6720,-220,-3.17,133929600000
"30","155660","DSR","KOSPI","철강금속",5490,-20,-0.36,8.784e+10
"31","069730","DSR제강","KOSPI","철강금속",5220,60,1.16,7.5168e+10
"32","017940","E1","KOSPI","유통업",42500,-250,-0.58,2.9155e+11
"33","365550","ESR켄달스퀘어리츠","KOSPI","서비스업",5970,70,1.19,855256230000
"34","007700","F&F","KOSPI","섬유의복",140000,-5500,-3.78,2.156e+12
"35","114090","GKL","KOSPI","서비스업",17000,-250,-1.45,1051546390000
"36","078930","GS","KOSPI","기타금융",38650,-50,-0.13,3591179359700
"37","006360","GS건설","KOSPI","건설업",42250,50,0.12,3611989173000
"38","001250","GS글로벌","KOSPI","유통업",2380,20,0.85,196430358320
"39","007070","GS리테일","KOSPI","유통업",38750,550,1.44,2.98375e+12
"40","078935","GS우","KOSPI","기타금융",31950,-50,-0.16,57025190700
"41","012630","HDC","KOSPI","기타금융",11100,-150,-1.33,663133103100
"42","039570","HDC아이콘트롤스","KOSPI","건설업",10100,0,0,1.66246e+11
"43","089470","HDC현대EP","KOSPI","화학",6120,-20,-0.33,1.95228e+11
"44","294870","HDC현대산업개발","KOSPI","건설업",29200,200,0.69,1924494036000
"45","011200","HMM","KOSPI","운수창고업",29150,700,2.46,9641730897700
"46","082740","HSD엔진","KOSPI","기계",8240,330,4.17,334539237280
"47","003560","IHQ","KOSPI","서비스업",2070,-15,-0.72,302707998360
"48","175330","JB금융지주","KOSPI","기타금융",6300,0,0,1240992232200
"49","234080","JW생명과학","KOSPI","의약품",19800,-150,-0.75,313524169200
"50","001060","JW중외제약","KOSPI","의약품",29950,-250,-0.83,645120783700
"51","001067","JW중외제약2우B","KOSPI","의약품",61400,-900,-1.44,5711919200
"52","001065","JW중외제약우","KOSPI","의약품",32200,-700,-2.13,5715049200
"53","096760","JW홀딩스","KOSPI","기타금융",5020,-70,-1.38,343574733640
"54","105560","KB금융","KOSPI","기타금융",51000,-400,-0.78,21206203920000
"55","002380","KCC","KOSPI","화학",204500,-1500,-0.73,1817283319500
"56","009070","KCTC","KOSPI","운수창고업",6710,-500,-6.93,2.013e+11
"57","009440","KC그린홀딩스","KOSPI","기타금융",4390,-55,-1.24,98489562200
"58","119650","KC코트렐","KOSPI","기계",8690,180,2.12,1.1297e+11
"59","092220","KEC","KOSPI","전기전자",2210,-65,-2.86,257922337400
"60","016380","KG동부제철","KOSPI","철강금속",12450,0,0,1245110767650
"61","016385","KG동부제철우","KOSPI","철강금속",113500,5500,5.09,6059197500
"62","001390","KG케미칼","KOSPI","화학",25250,300,1.2,350118924000
"63","001940","KISCO홀딩스","KOSPI","철강금속",16200,200,1.25,299317356000
"64","025000","KPX케미칼","KOSPI","화학",61200,100,0.16,2.96208e+11
"65","092230","KPX홀딩스","KOSPI","화학",57800,-500,-0.86,244184538800
"66","000040","KR모터스","KOSPI","운수장비",1445,85,6.25,138918496760
"67","044450","KSS해운","KOSPI","운수창고업",11050,50,0.45,256203974000
"68","030200","KT","KOSPI","통신업",27700,1000,3.75,7232797081600
"69","033780","KT&G","KOSPI","기타제조업",80300,0,0,11024587509100
"70","030210","KTB투자증권","KOSPI","증권",4370,-80,-1.8,263572582040
"71","058850","KTcs","KOSPI","서비스업",2940,35,1.2,125493900000
"72","058860","KTis","KOSPI","서비스업",2965,60,2.07,103187930000
"73","093050","LF","KOSPI","섬유의복",16200,0,0,4.73688e+11
"74","003550","LG","KOSPI","기타금융",85900,-200,-0.23,14822657552900
"75","034220","LG디스플레이","KOSPI","전기전자",22200,-150,-0.67,7943508540000
"76","001120","LG상사","KOSPI","유통업",28300,400,1.43,1.096908e+12
"77","051900","LG생활건강","KOSPI","화학",1541000,36000,2.39,24067641577000
"78","051905","LG생활건강우","KOSPI","화학",687000,-1000,-0.15,1442491839000
"79","003555","LG우","KOSPI","기타금융",66400,100,0.15,220094552800
"80","032640","LG유플러스","KOSPI","통신업",12050,0,0,5261166900050
"81","011070","LG이노텍","KOSPI","전기전자",203500,-2000,-0.97,4816256274500
"82","066570","LG전자","KOSPI","전기전자",146500,1000,0.69,23974404751000
"83","066575","LG전자우","KOSPI","전기전자",69500,-800,-1.14,1194426444000
"84","108670","LG하우시스","KOSPI","화학",77900,1900,2.5,698581493000
"85","108675","LG하우시스우","KOSPI","화학",36550,150,0.41,37731661500
"86","037560","LG헬로비전","KOSPI","서비스업",4580,15,0.33,354706641700
"87","051910","LG화학","KOSPI","화학",784000,9000,1.16,55344396912000
"88","051915","LG화학우","KOSPI","화학",359000,500,0.14,2760279200000
"89","079550","LIG넥스원","KOSPI","기계",37400,550,1.49,8.228e+11
"90","006260","LS","KOSPI","기타금융",63400,100,0.16,2.04148e+12
"91","010120","LS ELECTRIC","KOSPI","전기전자",57800,400,0.7,1.734e+12
"92","000680","LS네트웍스","KOSPI","유통업",2850,20,0.71,224588595600
"93","229640","LS전선아시아","KOSPI","기타금융",7750,160,2.11,237342812250
"94","023150","MH에탄올","KOSPI","음식료품",8480,-50,-0.59,62569900480
"95","035420","NAVER","KOSPI","서비스업",387000,1000,0.26,63569933865000
"96","181710","NHN","KOSPI","서비스업",71000,100,0.14,1389116775000
"97","005940","NH투자증권","KOSPI","증권",11250,-50,-0.44,3165849978750
"98","005945","NH투자증권우","KOSPI","증권",9080,10,0.11,171348389440
"99","338100","NH프라임리츠","KOSPI","서비스업",4315,5,0.12,80517900000
"100","034310","NICE","KOSPI","서비스업",17250,150,0.88,653469675000
"101","008260","NI스틸","KOSPI","철강금속",3430,-10,-0.29,98098401310
"102","004250","NPC","KOSPI","화학",4290,-80,-1.83,157528800000
"103","004255","NPC우","KOSPI","화학",2335,5,0.21,12328800000
"104","010060","OCI","KOSPI","화학",113000,-1500,-1.31,2694978923000
"105","005490","POSCO","KOSPI","철강금속",306000,-7000,-2.24,26679171510000
"106","010950","S-Oil","KOSPI","화학",78700,-1500,-1.87,8860265730400
"107","010955","S-Oil우","KOSPI","화학",45200,-750,-1.63,181791100400
"108","034120","SBS","KOSPI","서비스업",21950,-1150,-4.98,400644174900
"109","101060","SBS미디어홀딩스","KOSPI","서비스업",1930,15,0.78,269999646700
"110","005090","SGC에너지","KOSPI","전기가스업",38700,50,0.13,568000054800
"111","004060","SG세계물산","KOSPI","유통업",708,4,0.57,143316871680
"112","001380","SG충방","KOSPI","운수장비",2660,30,1.14,119604620380
"113","002360","SH에너지화학","KOSPI","화학",920,8,0.88,102243031600
"114","009160","SIMPAC","KOSPI","기계",3110,10,0.32,203485794760
"115","123700","SJM","KOSPI","운수장비",3970,15,0.38,61951445060
"116","025530","SJM홀딩스","KOSPI","유통업",3440,-45,-1.29,51372987520
"117","034730","SK","KOSPI","기타금융",244000,1500,0.62,17167912468000
"118","011790","SKC","KOSPI","화학",112500,5500,5.14,4260183525000
"119","018670","SK가스","KOSPI","유통업",105500,500,0.48,973790742000
"120","001740","SK네트웍스","KOSPI","유통업",5590,-70,-1.24,1387368946730
"121","001745","SK네트웍스우","KOSPI","유통업",111000,1500,1.37,12614928000
"122","006120","SK디스커버리","KOSPI","기타금융",59800,1300,2.22,1138463729000
"123","006125","SK디스커버리우","KOSPI","기타금융",44850,250,0.56,60926706750
"124","210980","SK디앤디","KOSPI","서비스업",36450,-50,-0.14,692191477800
"125","068400","SK렌터카","KOSPI","서비스업",10400,-150,-1.42,491772736000
"126","302440","SK바이오사이언스","KOSPI","의약품",136500,-4000,-2.85,1.044225e+13
"127","326030","SK바이오팜","KOSPI","서비스업",106500,1500,1.43,8340361125000
"128","03473K","SK우","KOSPI","기타금융",231000,-4000,-1.7,130777185000
"129","096770","SK이노베이션","KOSPI","화학",204500,2500,1.24,18909207838000
"130","096775","SK이노베이션우","KOSPI","화학",149500,0,0,186639687000
"131","001510","SK증권","KOSPI","증권",842,-4,-0.47,397920923982
"132","001515","SK증권우","KOSPI","증권",4400,-50,-1.12,17215061600
"133","285130","SK케미칼","KOSPI","화학",267000,-6500,-2.38,3134952732000
"134","28513K","SK케미칼우","KOSPI","화학",124000,-4500,-3.5,180875080000
"135","017670","SK텔레콤","KOSPI","통신업",249000,-1500,-0.6,20105682039000
"136","000660","SK하이닉스","KOSPI","전기전자",133500,-1500,-1.11,97188315727500
"137","064960","SNT모티브","KOSPI","운수장비",60400,-2700,-4.28,883237414400
"138","100840","SNT에너지","KOSPI","기계",17600,0,0,132118113600
"139","003570","SNT중공업","KOSPI","운수장비",7450,-340,-4.36,247732592650
"140","036530","SNT홀딩스","KOSPI","기타금융",19800,-200,-1,322816942800
"141","005610","SPC삼립","KOSPI","음식료품",72400,-500,-0.69,624740251600
"142","011810","STX","KOSPI","유통업",5730,0,0,113035148460
"143","077970","STX엔진","KOSPI","기계",7060,10,0.14,162442862240
"144","071970","STX중공업","KOSPI","기계",3970,60,1.53,112612924720
"145","084870","TBH글로벌","KOSPI","섬유의복",1740,-5,-0.29,36290865060
"146","002710","TCC스틸","KOSPI","철강금속",4585,-40,-0.86,1.05455e+11
"147","024070","WISCOM","KOSPI","화학",3585,-45,-1.24,54945280230
"148","037270","YG PLUS","KOSPI","서비스업",5990,-50,-0.83,379766599000
"149","000500","가온전선","KOSPI","전기전자",28500,1950,7.34,118569889500
"150","000860","강남제비스코","KOSPI","화학",24750,100,0.41,1.60875e+11
"151","035250","강원랜드","KOSPI","서비스업",26300,-550,-2.05,5626635150000
"152","011420","갤럭시아에스엠","KOSPI","서비스업",1580,-65,-3.95,43528437520
"153","002100","경농","KOSPI","화학",13600,-50,-0.37,295007800000
"154","009450","경동나비엔","KOSPI","전기전자",51000,300,0.59,693841230000
"155","267290","경동도시가스","KOSPI","전기가스업",19250,0,0,113486565500
"156","012320","경동인베스트","KOSPI","기타금융",36000,500,1.41,85140828000
"157","000050","경방","KOSPI","유통업",13100,100,0.77,359140037000
"158","214390","경보제약","KOSPI","의약품",11800,-50,-0.42,282100948000
"159","012610","경인양행","KOSPI","화학",6630,-80,-1.19,274723099950
"160","009140","경인전자","KOSPI","전기전자",27300,-400,-1.44,42882758100
"161","013580","계룡건설","KOSPI","건설업",30900,-50,-0.16,275965026300
"162","012200","계양전기","KOSPI","기계",4330,-35,-0.8,1.41158e+11
"163","012205","계양전기우","KOSPI","기계",6830,-10,-0.15,9.562e+09
"164","002140","고려산업","KOSPI","음식료품",4115,45,1.11,102625733875
"165","010130","고려아연","KOSPI","철강금속",402500,-3500,-0.86,7.595175e+12
"166","002240","고려제강","KOSPI","철강금속",17550,0,0,4.0365e+11
"167","009290","광동제약","KOSPI","의약품",8490,-60,-0.7,445053024990
"168","017040","광명전기","KOSPI","전기전자",2540,-50,-1.93,110077542100
"169","017900","광전자","KOSPI","전기전자",2295,30,1.32,132980936085
"170","037710","광주신세계","KOSPI","유통업",163500,0,0,2.616e+11
"171","030610","교보증권","KOSPI","증권",7520,-30,-0.4,486192785920
"172","339770","교촌에프앤비","KOSPI","유통업",17750,150,0.85,443440085000
"173","007690","국도화학","KOSPI","화학",63500,600,0.95,368974116000
"174","005320","국동","KOSPI","유통업",4470,-70,-1.54,174176254350
"175","001140","국보","KOSPI","운수창고업",2340,55,2.41,118953574740
"176","002720","국제약품","KOSPI","의약품",7840,-20,-0.25,151124545600
"177","083420","그린케미칼","KOSPI","화학",13400,300,2.29,3.216e+11
"178","014530","극동유화","KOSPI","화학",5300,270,5.37,184807926000
"179","014280","금강공업","KOSPI","철강금속",5520,270,5.14,160198751760
"180","014285","금강공업우","KOSPI","철강금속",11650,550,4.95,6872043750
"181","008870","금비","KOSPI","비금속광물",66600,600,0.91,6.66e+10
"182","001570","금양","KOSPI","화학",4620,-125,-2.63,220905817440
"183","002990","금호산업","KOSPI","건설업",9370,70,0.75,343259867880
"184","002995","금호산업우","KOSPI","건설업",30850,0,0,9016406100
"185","011780","금호석유","KOSPI","화학",230500,-2500,-1.07,7022802775500
"186","011785","금호석유우","KOSPI","화학",92200,200,0.22,278765409200
"187","214330","금호에이치티","KOSPI","운수장비",2310,30,1.32,289345196910
"188","001210","금호전기","KOSPI","전기전자",2610,-35,-1.32,31272550200
"189","073240","금호타이어","KOSPI","화학",3800,-35,-0.91,1091589090600
"190","092440","기신정기","KOSPI","기계",5510,150,2.8,1.60892e+11
"191","000270","기아차","KOSPI","운수장비",81800,-1700,-2.04,33158721784600
"192","024110","기업은행","KOSPI","은행",8900,-110,-1.22,6574112804000
"193","013700","까뮤이앤씨","KOSPI","건설업",2225,-150,-6.32,100463823000
"194","004540","깨끗한나라","KOSPI","종이목재",4255,245,6.11,158459148715
"195","004545","깨끗한나라우","KOSPI","종이목재",17800,50,0.28,6517648000
"196","001260","남광토건","KOSPI","건설업",13800,200,1.47,135638833800
"197","008350","남선알미늄","KOSPI","철강금속",3975,-30,-0.75,437961882750
"198","008355","남선알미우","KOSPI","철강금속",37150,900,2.48,11438113500
"199","004270","남성","KOSPI","유통업",4090,130,3.28,148107734400
"200","003920","남양유업","KOSPI","음식료품",301500,1500,0.5,2.1708e+11
"201","003925","남양유업우","KOSPI","음식료품",175500,-2500,-1.4,29249181000
"202","025860","남해화학","KOSPI","화학",8810,50,0.57,437670606830
"203","005720","넥센","KOSPI","화학",4505,15,0.33,241215616385
"204","005725","넥센우","KOSPI","화학",2940,15,0.51,10585764000
